ID,categoria
271,Entretenimiento
165,Entretenimiento
397,Entretenimiento
879,Deportes
777,Deportes
491,Deportes
972,Deportes
813,Entretenimiento
686,Entretenimiento
238,Entretenimiento
802,Entretenimiento
678,Deportes
43,Entretenimiento
593,Entretenimiento
613,Entretenimiento
999,Entretenimiento
590,Entretenimiento
862,Entretenimiento
74,Entretenimiento
308,Entretenimiento
504,Entretenimiento
583,Entretenimiento
749,Entretenimiento
751,Deportes
814,Deportes
641,Entretenimiento
975,Entretenimiento
277,Entretenimiento
293,Entretenimiento
398,Entretenimiento
423,Entretenimiento
895,Entretenimiento
186,Deportes
119,Entretenimiento
869,Entretenimiento
138,Entretenimiento
842,Entretenimiento
76,Entretenimiento
936,Entretenimiento
477,Entretenimiento
433,Entretenimiento
615,Entretenimiento
229,Deportes
695,Entretenimiento
66,Película y Animación
917,Entretenimiento
322,Entretenimiento
938,Entretenimiento
242,Entretenimiento
436,Entretenimiento
934,Entretenimiento
774,Entretenimiento
354,Entretenimiento
202,Entretenimiento
735,Entretenimiento
14,Entretenimiento
441,Entretenimiento
951,Entretenimiento
761,Entretenimiento
333,Entretenimiento
644,Entretenimiento
880,Entretenimiento
153,Entretenimiento
378,Entretenimiento
431,Entretenimiento
413,Entretenimiento
640,Entretenimiento
363,Entretenimiento
726,Entretenimiento
649,Entretenimiento
604,Entretenimiento
713,Entretenimiento
41,Educación
808,Entretenimiento
95,Entretenimiento
815,Entretenimiento
162,Entretenimiento
447,Entretenimiento
347,Entretenimiento
320,Entretenimiento
337,Entretenimiento
971,Entretenimiento
356,Entretenimiento
796,Entretenimiento
113,Entretenimiento
221,Entretenimiento
602,Entretenimiento
702,Entretenimiento
514,Entretenimiento
821,Entretenimiento
775,Película y Animación
724,Entretenimiento
706,Entretenimiento
687,Entretenimiento
190,Entretenimiento
367,Entretenimiento
717,Entretenimiento
49,Entretenimiento
835,Entretenimiento
801,Película y Animación
268,Deportes
336,Película y Animación
299,Película y Animación
757,Entretenimiento
723,Entretenimiento
63,Entretenimiento
677,Entretenimiento
207,Entretenimiento
572,Entretenimiento
625,Entretenimiento
956,Entretenimiento
254,Entretenimiento
68,Entretenimiento
175,Entretenimiento
407,Entretenimiento
708,Entretenimiento
210,Entretenimiento
222,Entretenimiento
316,Entretenimiento
490,Entretenimiento
219,Entretenimiento
544,Entretenimiento
816,Entretenimiento
141,Entretenimiento
399,Entretenimiento
298,Entretenimiento
733,Entretenimiento
451,Entretenimiento
783,Entretenimiento
567,Entretenimiento
770,Película y Animación
124,Entretenimiento
12,Entretenimiento
56,Entretenimiento
964,Entretenimiento
123,Deportes
264,Deportes
522,Deportes
891,Deportes
797,Deportes
669,Deportes
955,Deportes
663,Entretenimiento
115,Entretenimiento
169,Entretenimiento
741,Entretenimiento
145,Entretenimiento
118,Entretenimiento
191,Entretenimiento
915,Entretenimiento
295,Entretenimiento
629,Entretenimiento
683,Entretenimiento
351,Entretenimiento
621,Entretenimiento
581,Entretenimiento
429,Entretenimiento
288,Entretenimiento
985,Entretenimiento
535,Entretenimiento
199,Entretenimiento
270,Entretenimiento
314,Deportes
157,Entretenimiento
742,Entretenimiento
913,Entretenimiento
37,Entretenimiento
591,Entretenimiento
89,Entretenimiento
328,Entretenimiento
860,Entretenimiento
825,Entretenimiento
61,Entretenimiento
841,Entretenimiento
350,Deportes
480,Entretenimiento
705,Entretenimiento
445,Entretenimiento
782,Entretenimiento
805,Entretenimiento
878,Entretenimiento
550,Entretenimiento
838,Entretenimiento
108,Entretenimiento
791,Entretenimiento
59,Entretenimiento
853,Entretenimiento
335,Entretenimiento
232,Entretenimiento
60,Entretenimiento
223,Entretenimiento
462,Entretenimiento
416,Entretenimiento
272,Entretenimiento
8,Entretenimiento
151,Entretenimiento
104,Entretenimiento
83,Entretenimiento
658,Entretenimiento
864,Entretenimiento
